Date,DataIn(GB),DataInAvg(GB),DataOut(GB),DataOutAvg(GB)
2022/12/08,235.92,235.93,235.92,235.93
2022/12/09,232.17,232.18,232.17,232.18
2022/12/10,238.56,241.68,238.56,241.68
2022/12/11,259.59,259.61,259.59,259.61
2022/12/12,260.66,260.67,260.66,260.67
2022/12/13,261.65,261.67,261.65,261.67
2022/12/14,313.72,313.73,313.72,313.73
2022/12/15,306.02,306.04,306.02,306.04
2022/12/16,293.59,293.61,293.59,293.61
2022/12/17,279.86,279.87,279.86,279.87
2022/12/18,251.8,251.81,251.8,251.81
2022/12/19,248.43,248.44,248.43,248.44
2022/12/20,269.43,269.55,269.43,269.55
2022/12/21,276.79,276.8,276.79,276.8
2022/12/22,287.03,287.04,287.03,287.04
2022/12/23,274.0,274.01,274.0,274.01
2022/12/24,249.52,249.54,249.52,249.54
2022/12/25,219.09,219.11,219.09,219.11
2022/12/26,224.89,224.9,224.89,224.9
2022/12/27,258.41,258.43,258.41,258.43
2022/12/28,247.44,247.45,247.44,247.45
2022/12/29,258.39,258.43,258.39,258.43
2022/12/30,239.56,240.4,239.56,240.4
2022/12/31,236.33,236.34,236.33,236.34
2023/01/01,209.35,209.36,209.35,209.36
2023/01/02,219.47,219.47,219.47,219.47
2023/01/03,243.34,243.35,243.34,243.35
2023/01/04,263.59,263.6,263.59,263.6
2023/01/05,259.42,259.42,259.42,259.42
2023/01/06,248.87,248.88,248.87,248.88
2023/01/07,240.7,240.71,240.7,240.71
2023/01/08,236.34,236.34,236.34,236.34
2023/01/09,258.27,258.28,258.27,258.28
2023/01/10,238.39,238.34,238.39,238.34
2023/01/11,263.3,263.31,263.3,263.31
2023/01/12,254.99,255.0,254.99,255.0
2023/01/13,250.75,250.76,250.75,250.76
2023/01/14,251.13,251.14,251.13,251.14
2023/01/15,251.07,251.08,251.07,251.08
2023/01/16,265.47,265.48,265.47,265.48
2023/01/17,274.78,274.79,274.78,274.79
2023/01/18,274.73,274.74,274.73,274.74
2023/01/19,310.27,310.28,310.27,310.28
2023/01/20,294.68,294.63,294.68,294.63
2023/01/21,280.48,280.49,280.48,280.49
2023/01/22,269.17,269.18,269.17,269.18
2023/01/23,285.52,285.53,285.52,285.53
2023/01/24,268.33,268.34,268.33,268.34
2023/01/25,277.51,277.52,277.51,277.52
2023/01/26,303.25,303.26,303.25,303.26
2023/01/27,325.93,325.93,325.93,325.93
2023/01/28,301.34,301.35,301.34,301.35
2023/01/29,291.62,291.64,291.62,291.64
2023/01/30,312.16,312.17,312.16,312.17
2023/01/31,289.43,289.44,289.43,289.44
2023/02/01,328.93,328.95,328.93,328.95
2023/02/02,301.25,301.26,301.25,301.26
2023/02/03,292.97,292.99,292.97,292.99
2023/02/04,305.06,305.08,305.06,305.08
2023/02/05,307.45,307.46,307.45,307.46
2023/02/06,347.72,347.74,347.72,347.74
2023/02/07,334.3,334.31,334.3,334.31
2023/02/08,334.46,334.47,334.46,334.47
2023/02/09,317.52,317.54,317.52,317.54
2023/02/10,306.94,306.96,306.94,306.96
2023/02/11,293.47,293.49,293.47,293.49
2023/02/12,292.17,292.19,292.17,292.19
2023/02/13,286.87,286.88,286.87,286.88
2023/02/14,292.02,292.03,292.02,292.03
2023/02/15,306.69,306.7,306.69,306.7
2023/02/16,327.32,327.33,327.32,327.33
2023/02/17,284.18,284.19,284.18,284.19
2023/02/18,309.65,309.67,309.65,309.67
2023/02/19,317.11,317.13,317.11,317.13
2023/02/20,304.57,304.59,304.57,304.59
2023/02/21,289.8,289.81,289.8,289.81
2023/02/22,303.13,303.15,303.13,303.15
2023/02/23,281.7,281.72,281.7,281.72
2023/02/24,292.19,292.21,292.19,292.21
2023/02/25,295.42,295.43,295.42,295.43
2023/02/26,302.05,302.06,302.05,302.06
2023/02/27,275.5,275.51,275.5,275.51
2023/02/28,268.42,268.44,268.42,268.44
2023/03/01,320.44,320.45,320.44,320.45
2023/03/02,330.04,330.05,330.04,330.05
2023/03/03,314.43,314.44,314.43,314.44
2023/03/04,295.14,295.15,295.14,295.15
2023/03/05,304.53,304.54,304.53,304.54
2023/03/06,331.74,331.75,331.74,331.75
2023/03/07,295.25,295.26,295.25,295.26
